percentage,gates_deep,gates_max,gates_sum
0.0,18.627920140057,18.627920140057,18.627920140057
0.1,18.640861346978,18.641810344198,18.6426630208
0.2,18.647701271322,18.648461637431,18.648461637431
0.3,18.649392667117,18.651051727297,18.650912559462
0.4,18.65217277134,18.652645275562,18.652581605799
0.5,18.653026112306,18.653879490861,18.653473672128
0.6,18.654183704399,18.654279290539,18.654207755632
0.7,18.654602608737,18.65462735653,18.654638623428
0.8,18.654957383124,18.654956692034,18.654975139955
0.9,18.655197164316,18.655134001634,18.655166574877
1.0,18.655246272832,18.655246272832,18.655246272832
