percentage,gates_deep,gates_max,gates_sum
0.0,0.404724976412,0.404724976412,0.404724976412
0.1,0.40472770286,0.404727965368,0.40472774363
0.2,0.404734562849,0.404734637774,0.404733188653
0.3,0.404738466123,0.40473841746,0.404737768163
0.4,0.404743149231,0.404744043999,0.404741585113
0.5,0.404747094694,0.404747788414,0.404747098472
0.6,0.404747649996,0.404749587901,0.404748531546
0.7,0.404748229749,0.404749602623,0.404749992466
0.8,0.404750154277,0.404750945317,0.404750529225
0.9,0.404751597739,0.404751592725,0.404751592725
1.0,0.404751731797,0.404751731797,0.404751731797
