percentage,gates_deep,gates_max,gates_sum
0.0,0.111860961138,0.111860961138,0.111860961138
0.1,0.11186340512,0.11186340512,0.111862901531
0.2,0.111865794471,0.111865794471,0.111864747754
0.3,0.111867794595,0.111867716334,0.111866904585
0.4,0.11186872291,0.111869202256,0.111868826812
0.5,0.111869466486,0.111870034181,0.111869851818
0.6,0.111870378353,0.111870524516,0.111870552173
0.7,0.11187078883,0.111870918161,0.111870924734
0.8,0.11187111465,0.111871186341,0.111871183383
0.9,0.111871267675,0.111871327612,0.111871337132
1.0,0.111871353645,0.111871353645,0.111871353645
